1030	4.00e-15	4.00e-15	-5.55e-15	-3.36e+01	1.83e+02	-7.35e+01
1040	1.55e-15	3.55e-15	-4.55e-15	-6.42e+00	1.62e+02	-6.71e+01
1050	-2.22e-16	1.55e-15	-6.00e-15	6.97e+01	8.99e+01	-1.07e+01
1060	2.44e-15	3.55e-15	-8.10e-15	1.19e+02	3.91e+01	6.21e+01
1070	4.44e-16	6.66e-15	-1.20e-14	9.96e+01	-3.13e+01	9.75e+01
1080	-1.55e-15	6.66e-15	-1.70e-14	3.27e+01	-1.35e+02	7.84e+01
1090	-2.44e-15	4.44e-15	-1.98e-14	-7.96e+00	-1.65e+02	1.64e+01
1100	0.00e+00	5.05e-15	-2.25e-14	4.64e+01	-8.75e+01	-6.83e+01
1110	-1.22e-15	6.66e-15	-1.67e-14	1.38e+02	1.26e+01	-1.11e+02
1120	-6.66e-16	4.88e-15	-1.73e-14	1.53e+02	-6.19e+00	-9.45e+01
1130	-1.50e-15	3.77e-15	-1.40e-14	5.80e+01	-1.06e+02	-9.57e+00
1140	-6.07e-15	1.67e-15	-1.49e-14	-5.76e+01	-1.21e+02	6.94e+01
1150	-4.66e-15	1.61e-15	-1.35e-14	-1.10e+02	2.12e+01	7.79e+01
1160	-7.33e-15	-1.83e-15	-1.44e-14	-7.82e+01	1.27e+02	4.30e+01
1170	-7.44e-15	3.91e-15	-1.24e-14	7.39e+00	-5.84e+00	-2.12e+01
1180	-6.27e-15	5.72e-15	-1.45e-14	6.89e+01	-2.31e+02	-1.02e+02
1190	-3.85e-15	1.22e-15	-1.51e-14	8.15e+01	-2.48e+02	-1.63e+02
1200	-7.44e-15	3.05e-15	-1.63e-14	7.71e+01	-2.35e+01	-1.55e+02
